,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,HIRE_DATE,HIRING_STATUS,JOB_ID,SALARY,DEPARTMENT_ID,RESIDENCY_ID
20,111,Ismael,Sciarra,ISCIARRA,2005-09-30 00:00:00.000000,early hire,FI_ACCOUNT,7700,100,1700
21,112,Jose Manuel,Urman,JMURMAN,2006-03-07 00:00:00.000000,late hire,FI_ACCOUNT,7800,100,1700
22,113,Luis,Popp,LPOPP,2007-12-07 00:00:00.000000,late hire,FI_ACCOUNT,6900,100,1700
23,114,Den,Raphaely,DRAPHEAL,2002-12-07 00:00:00.000000,early hire,PU_MAN,11000,30,1800
24,115,Alexander,Khoo,AKHOO,2003-05-18 00:00:00.000000,early hire,PU_CLERK,3100,30,1900
25,116,Shelli,Baida,SBAIDA,2005-12-24 00:00:00.000000,early hire,PU_CLERK,2900,30,1700
26,117,Sigal,Tobias,STOBIAS,2005-07-24 00:00:00.000000,early hire,PU_CLERK,2800,30,1800
27,118,Guy,Himuro,GHIMURO,2006-11-15 00:00:00.000000,late hire,PU_CLERK,2600,30,1700
28,119,Karen,Colmenares,KCOLMENA,2007-08-10 00:00:00.000000,late hire,PU_CLERK,2500,30,1200
29,120,Matthew,Weiss,MWEISS,2004-07-18 00:00:00.000000,early hire,ST_MAN,8000,50,1900
30,121,Adam,Fripp,AFRIPP,2005-04-10 00:00:00.000000,early hire,ST_MAN,8200,50,1900
31,122,Payam,Kaufling,PKAUFLIN,2003-05-01 00:00:00.000000,early hire,ST_MAN,7900,50,1900
32,123,Shanta,Vollman,SVOLLMAN,2005-10-10 00:00:00.000000,early hire,ST_MAN,6500,50,2400
33,124,Kevin,Mourgos,KMOURGOS,2007-11-16 00:00:00.000000,late hire,ST_MAN,5800,50,2400
34,125,Julia,Nayer,JNAYER,2005-07-16 00:00:00.000000,early hire,ST_CLERK,3200,50,2400
35,126,Irene,Mikkilineni,IMIKKILI,2006-09-28 00:00:00.000000,late hire,ST_CLERK,2700,50,2400
36,127,James,Landry,JLANDRY,2007-01-14 00:00:00.000000,late hire,ST_CLERK,2400,50,2400
37,128,Steven,Markle,SMARKLE,2008-03-08 00:00:00.000000,late hire,ST_CLERK,2200,50,2400
38,129,Laura,Bissot,LBISSOT,2005-08-20 00:00:00.000000,early hire,ST_CLERK,3300,50,2400
39,130,Mozhe,Atkinson,MATKINSO,2005-10-30 00:00:00.000000,early hire,ST_CLERK,2800,50,2400
40,131,James,Marlow,JAMRLOW,2005-02-16 00:00:00.000000,early hire,ST_CLERK,2500,50,2400
41,132,TJ,Olson,TJOLSON,2007-04-10 00:00:00.000000,late hire,ST_CLERK,2100,50,2400
42,133,Jason,Mallin,JMALLIN,2004-06-14 00:00:00.000000,early hire,ST_CLERK,3300,50,1900
43,134,Michael,Rogers,MROGERS,2006-08-26 00:00:00.000000,late hire,ST_CLERK,2900,50,1900
44,135,Ki,Gee,KGEE,2007-12-12 00:00:00.000000,late hire,ST_CLERK,2400,50,1900
45,136,Hazel,Philtanker,HPHILTAN,2008-02-06 00:00:00.000000,late hire,ST_CLERK,2200,50,1900
46,137,Renske,Ladwig,RLADWIG,2003-07-14 00:00:00.000000,early hire,ST_CLERK,3600,50,1900
47,138,Stephen,Stiles,SSTILES,2005-10-26 00:00:00.000000,early hire,ST_CLERK,3200,50,1900
48,139,John,Seo,JSEO,2006-02-12 00:00:00.000000,late hire,ST_CLERK,2700,50,1900
49,140,Joshua,Patel,JPATEL,2006-04-06 00:00:00.000000,late hire,ST_CLERK,2500,50,1900
